year,month,category_name_en,revenue_items_only,sold_items
2017,5,tablets_printing_image,1514.98,7
2017,5,kitchen_dining_laundry_garden_furniture,1304.48,9
2017,5,air_conditioning,1016.77,8
2017,5,costruction_tools_tools,803.9,2
2017,5,fashion_male_clothing,608.9,4
2017,5,furniture_mattress_and_upholstery,595.89,3
2017,5,industry_commerce_and_business,519.8,2
2017,5,signaling_and_security,508.85,4
2017,5,fixed_telephony,462.33,10
2017,5,fashio_female_clothing,422.4,5
2017,5,food_drink,416.29,17
2017,5,food,387.9,3
2017,5,fashion_underwear_beach,283.5,7
2017,5,books_technical,262.0,3
2017,5,la_cuisine,193.0,1
2017,5,fashion_sport,124.84,3
2017,5,fashion_childrens_clothes,110.0,1
2017,5,construction_tools_construction,99.99,1
2017,5,drinks,90.0,1
2017,5,dvds_blu_ray,89.6,4
2017,5,cine_photo,59.0,1
2017,5,arts_and_craftmanship,21.99,1
2017,6,cool_stuff,38244.5,201
2017,6,computers_accessories,37007.08,261
2017,6,bed_bath_table,35114.81,382
2017,6,sports_leisure,32898.33,277
2017,6,health_beauty,32029.39,260
2017,6,auto,31370.69,112
2017,6,watches_gifts,28948.63,124
2017,6,perfumery,24438.1,154
2017,6,housewares,23623.71,331
2017,6,furniture_decor,16943.58,233
2017,6,garden_tools,15851.17,114
2017,6,toys,15476.35,158
2017,6,small_appliances,9698.81,23
2017,6,luggage_accessories,8232.09,61
2017,6,baby,7864.74,78
2017,6,office_furniture,7279.13,50
2017,6,fashion_bags_accessories,6831.03,83
2017,6,telephony,6757.62,160
2017,6,unknown,5657.78,64
2017,6,consoles_games,5389.02,30
2017,6,pet_shop,5243.57,64
2017,6,musical_instruments,4993.05,20
2017,6,stationery,3493.57,38
2017,6,home_confort,3056.19,18
2017,6,home_appliances,2507.19,43
2017,6,electronics,2100.04,42
2017,6,air_conditioning,2084.48,11
2017,6,home_construction,1992.3,8
2017,6,books_general_interest,1940.08,21
2017,6,furniture_living_room,1713.3,15
2017,6,audio,1671.0,11
2017,6,agro_industry_and_commerce,1390.0,1
2017,6,fashion_shoes,1351.2,20
2017,6,market_place,1258.95,16
2017,6,home_appliances_2,1213.87,6
2017,6,music,1066.9,4
2017,6,fixed_telephony,933.67,12
2017,6,tablets_printing_image,594.0,6
2017,6,fashion_male_clothing,569.69,10
2017,6,fashion_sport,495.49,6
2017,6,costruction_tools_garden,434.69,4
2017,6,art,421.7,10
2017,6,construction_tools_construction,376.37,8
2017,6,kitchen_dining_laundry_garden_furniture,374.8,4
2017,6,furniture_bedroom,308.99,2
2017,6,industry_commerce_and_business,276.97,2
2017,6,signaling_and_security,273.9,2
2017,6,christmas_supplies,184.7,3
2017,6,fashio_female_clothing,154.8,3
2017,6,food,149.9,1
2017,6,books_technical,145.9,2
2017,6,dvds_blu_ray,126.69,4
2017,6,fashion_childrens_clothes,110.0,1
2017,6,books_imported,99.0,2
2017,6,cine_photo,79.0,1
2017,6,small_appliances_home_oven_and_coffee,71.9,1
2017,6,food_drink,57.4,2
2017,6,drinks,49.99,1
2017,6,home_comfort_2,12.9,1
2017,6,fashion_underwear_beach,3.9,1
2017,7,bed_bath_table,63888.75,579
2017,7,sports_leisure,38813.41,387
2017,7,computers_accessories,38709.0,326
2017,7,cool_stuff,37506.76,230
2017,7,watches_gifts,36804.56,168
2017,7,health_beauty,34896.86,316
2017,7,furniture_decor,24751.92,320
2017,7,toys,24511.72,207
2017,7,housewares,20874.3,276
2017,7,garden_tools,20067.05,190
2017,7,office_furniture,16892.61,115
2017,7,baby,15941.11,129
2017,7,auto,14119.74,117
2017,7,perfumery,12910.02,126
2017,7,telephony,9064.86,144
2017,7,musical_instruments,8411.59,32
2017,7,luggage_accessories,8357.61,74
2017,7,electronics,7346.84,97
2017,7,stationery,7091.75,80
2017,7,pet_shop,6605.87,86
2017,7,consoles_games,5680.16,48
2017,7,fashion_bags_accessories,5193.1,88
2017,7,small_appliances,4621.36,34
2017,7,home_confort,4563.85,43
2017,7,furniture_living_room,4395.12,31
