customer_region,customer_state,customer_city,revenue_items_only,orders_count
nordeste,BA,taboquinhas,289.0,1
nordeste,BA,wanderley,288.98,2
norte,AC,xapuri,288.93,2
sudeste,SP,rechan,288.8,2
sudeste,MG,ubaporanga,288.78,3
sudeste,SP,canitar,287.25,2
nordeste,BA,santa teresinha,287.0,2
sudeste,MG,sao pedro da uniao,286.89,3
sul,RS,tupandi,285.99,3
nordeste,CE,pereiro,285.89,3
norte,AM,humaita,285.85,4
sul,PR,congonhinhas,285.7,2
nordeste,PB,santa luzia,285.3,5
sul,RS,arroio do tigre,285.0,2
norte,RO,sao francisco do guapore,284.9,2
sudeste,RJ,monnerat,284.84,2
nordeste,PB,coremas,284.69,3
sudeste,ES,jeronimo monteiro,284.0,2
sudeste,MG,riacho dos machados,284.0,3
sul,PR,urai,283.9,3
sudeste,SP,motuca,283.9,3
centro_oeste,GO,leopoldo de bulhoes,283.02,1
sudeste,MG,porteirinha,282.69,5
sul,SC,balneario gaivota,282.3,3
sudeste,MG,antonio prado de minas,282.0,3
sudeste,MG,abre campo,281.68,5
sul,SC,ipumirim,281.41,5
sudeste,MG,aiuruoca,281.09,4
nordeste,PE,itapetim,280.8,2
sul,SC,nossa senhora de caravaggio,280.0,2
sudeste,SP,santo expedito,280.0,1
nordeste,MA,porto franco,279.99,2
norte,TO,novo alegre,279.99,1
sudeste,SP,americo de campos,279.9,1
sudeste,MG,sao joao do oriente,279.9,2
nordeste,BA,coracao de maria,279.9,1
nordeste,BA,bom jesus da serra,279.89,2
nordeste,BA,pilao arcado,279.87,4
sul,RS,formigueiro,279.8,2
sul,PR,renascenca,279.6,4
sudeste,MG,medeiros,279.49,2
norte,RO,candeias do jamari,279.0,1
centro_oeste,MS,paranhos,279.0,1
sudeste,ES,vargem alta,278.89,5
sul,SC,sao jose do cerrito,278.89,3
sul,RS,ibiaca,278.89,2
sul,SC,ouro,278.79,1
sudeste,MG,campanario,278.7,2
sudeste,MG,cassia,278.29,6
nordeste,PB,ibiara,278.0,1
sudeste,MG,sao sebastiao do rio verde,278.0,1
nordeste,BA,ibiraja,277.95,2
centro_oeste,GO,doverlandia,277.92,2
sul,RS,gaurama,277.88,3
nordeste,BA,araci,277.87,3
nordeste,BA,sao francisco do conde,276.8,3
sudeste,MG,ribeirao vermelho,275.7,2
sudeste,MG,itapeva,275.7,5
sudeste,SP,aguas de sao pedro,274.99,2
nordeste,BA,santaluz,274.89,3
sul,PR,serranopolis do iguacu,274.89,2
sul,PR,ivate,273.98,3
centro_oeste,GO,pirenopolis,273.87,4
centro_oeste,MS,miranda,273.8,4
nordeste,CE,sao luis do curu,273.8,3
sudeste,SP,vista alegre do alto,272.99,3
nordeste,BA,barra do tarrachil,272.9,3
centro_oeste,MS,itaquirai,272.9,2
nordeste,BA,itiuba,272.89,4
sudeste,SP,pardinho,272.8,1
sul,PR,perola,272.74,2
sul,SC,chapadao do lageado,272.7,1
sudeste,MG,dom vicoso,272.3,2
sul,RS,palmitinho,271.69,5
sudeste,SP,santo antonio do jardim,271.02,5
nordeste,MA,magalhaes de almeida,270.9,1
norte,TO,cariri do tocantins,270.89,2
sudeste,MG,vargem grande do rio pardo,270.0,1
sudeste,MG,santana da vargem,269.95,4
nordeste,PB,alagoinha,269.9,2
nordeste,CE,ipaumirim,269.9,1
sul,PR,itambe,269.9,1
nordeste,BA,angical,269.9,1
nordeste,PB,livramento,269.9,1
sul,PR,itambaraca,269.8,2
sudeste,MG,papagaios,269.67,4
nordeste,BA,itamari,268.98,3
nordeste,PI,buriti dos lopes,268.9,2
nordeste,PB,frei martinho,268.9,2
nordeste,CE,araripe,268.6,2
sul,RS,monte alverne,268.0,1
nordeste,PE,vicencia,268.0,2
sul,SC,jabora,267.9,2
nordeste,PE,pedra,267.68,3
sudeste,MG,inimutaba,266.7,2
sudeste,SP,arealva,266.68,4
sudeste,ES,alto rio novo,266.5,2
sul,PR,janiopolis,265.97,3
sudeste,MG,setubinha,265.89,3
sudeste,MG,cabeceira grande,265.89,3
centro_oeste,GO,maurilandia,265.63,4
sudeste,MG,itapagipe,265.49,5
sudeste,MG,recreio,264.98,3
sudeste,MG,romaria,264.9,2
nordeste,RN,sao vicente,264.89,2
sul,SC,sangao,264.79,3
nordeste,PB,mari,264.55,3
sul,SC,atalanta,263.99,1
nordeste,PE,santa cruz,263.9,2
nordeste,PB,itaporanga,263.8,2
sul,PR,saudade do iguacu,263.79,4
sul,PR,sao joao do triunfo,263.72,3
sul,SC,sao pedro de alcantara,263.0,2
sul,PR,rondon,262.98,2
nordeste,CE,abaiara,262.9,2
centro_oeste,MT,vera,262.79,3
sul,PR,indianopolis,262.79,4
sul,RS,arvorezinha,262.5,4
sul,RS,nova alvorada,261.8,3
sul,SC,jacinto machado,260.49,4
sul,RS,capao do cipo,260.0,3
nordeste,AL,uniao dos palmares,259.99,1
sudeste,MG,novo oriente de minas,259.99,1
centro_oeste,MT,feliz natal,259.99,1
sudeste,SP,trabiju,259.99,1
sudeste,MG,goiabeira,259.98,2
nordeste,MA,paraibano,259.91,3
nordeste,PE,santa terezinha,259.9,1
sul,PR,salto do itarare,259.9,1
sudeste,ES,mucurici,259.8,1
sul,PR,borrazopolis,259.59,2
sul,RS,nova esperanca do sul,259.4,2
